City,Date,Year,AvgTemperature,Avg_Temp,Sum of Number of occurrence
London,01-Jan-19,2019,47.3,47.3,96
London,02-Jan-19,2019,41.4,41.4,35
London,03-Jan-19,2019,40.7,40.7,42
London,04-Jan-19,2019,37.5,37.5,40
London,05-Jan-19,2019,40.2,40.2,51
London,06-Jan-19,2019,46,46,55
London,07-Jan-19,2019,48.6,48.6,42
London,08-Jan-19,2019,44.8,44.8,41
London,09-Jan-19,2019,39.6,39.6,35
London,10-Jan-19,2019,37.9,37.9,43
London,11-Jan-19,2019,45.5,45.5,36
London,12-Jan-19,2019,48.1,48.1,46
London,13-Jan-19,2019,50.9,50.9,46
London,14-Jan-19,2019,46.6,46.6,42
London,15-Jan-19,2019,43.8,43.8,47
London,16-Jan-19,2019,45.6,45.6,45
London,17-Jan-19,2019,38.3,38.3,44
London,18-Jan-19,2019,36.1,36.1,46
London,19-Jan-19,2019,39.4,39.4,51
London,20-Jan-19,2019,35.6,35.6,34
London,21-Jan-19,2019,35.3,35.3,47
London,22-Jan-19,2019,38.4,38.4,32
London,23-Jan-19,2019,-99,50.03,39
London,24-Jan-19,2019,34.3,34.3,37
London,25-Jan-19,2019,44.9,44.9,33
London,26-Jan-19,2019,47,47,35
London,27-Jan-19,2019,42.4,42.4,49
London,28-Jan-19,2019,37.3,37.3,37
London,29-Jan-19,2019,35.4,35.4,37
London,30-Jan-19,2019,34.5,34.5,40
London,31-Jan-19,2019,31.4,31.4,32
London,01-Feb-19,2019,34.7,34.7,30
London,02-Feb-19,2019,36.9,36.9,43
London,03-Feb-19,2019,35.5,35.5,43
London,04-Feb-19,2019,44.7,44.7,36
London,05-Feb-19,2019,43.7,43.7,33
London,06-Feb-19,2019,48.4,48.4,32
London,07-Feb-19,2019,46.4,46.4,38
London,08-Feb-19,2019,48.6,48.6,34
London,09-Feb-19,2019,47,47,47
London,10-Feb-19,2019,42.5,42.5,23
London,11-Feb-19,2019,42.8,42.8,57
London,12-Feb-19,2019,43.7,43.7,40
London,13-Feb-19,2019,45.7,45.7,39
London,14-Feb-19,2019,43.2,43.2,37
London,15-Feb-19,2019,44.3,44.3,37
London,16-Feb-19,2019,47.4,47.4,33
London,17-Feb-19,2019,49,49,52
London,18-Feb-19,2019,46.6,46.6,34
London,19-Feb-19,2019,44.6,44.6,38
London,20-Feb-19,2019,47.7,47.7,47
London,21-Feb-19,2019,50.2,50.2,44
London,22-Feb-19,2019,47.7,47.7,44
London,23-Feb-19,2019,49.7,49.7,45
London,24-Feb-19,2019,47.8,47.8,62
London,25-Feb-19,2019,48.8,48.8,50
London,26-Feb-19,2019,51,51,42
London,27-Feb-19,2019,51,51,60
London,28-Feb-19,2019,48.8,48.8,40
London,01-Mar-19,2019,49.1,49.1,28
London,02-Mar-19,2019,51.3,51.3,49
London,03-Mar-19,2019,51.6,51.6,32
London,04-Mar-19,2019,44.1,44.1,41
London,05-Mar-19,2019,45.8,45.8,40
London,06-Mar-19,2019,50.7,50.7,40
London,07-Mar-19,2019,46.8,46.8,47
London,08-Mar-19,2019,45.6,45.6,34
London,09-Mar-19,2019,49,49,57
London,10-Mar-19,2019,45.2,45.2,41
London,11-Mar-19,2019,44.5,44.5,46
London,12-Mar-19,2019,45,45,34
London,13-Mar-19,2019,47.7,47.7,32
London,14-Mar-19,2019,50.7,50.7,31
London,15-Mar-19,2019,54.1,54.1,39
London,16-Mar-19,2019,52,52,40
London,17-Mar-19,2019,44.2,44.2,41
London,18-Mar-19,2019,44.8,44.8,35
London,19-Mar-19,2019,48.9,48.9,50
London,20-Mar-19,2019,51.5,51.5,51
London,21-Mar-19,2019,52.5,52.5,36
London,22-Mar-19,2019,50.1,50.1,34
London,23-Mar-19,2019,50.2,50.2,52
London,24-Mar-19,2019,47.5,47.5,54
London,25-Mar-19,2019,48.3,48.3,74
London,26-Mar-19,2019,46.2,46.2,48
London,27-Mar-19,2019,49.5,49.5,65
London,28-Mar-19,2019,51.3,51.3,57
London,29-Mar-19,2019,51.6,51.6,63
London,30-Mar-19,2019,54.6,54.6,66
London,31-Mar-19,2019,49,49,57
London,01-Apr-19,2019,47,47,47
London,02-Apr-19,2019,42.6,42.6,38
London,03-Apr-19,2019,39.6,39.6,35
London,04-Apr-19,2019,42.1,42.1,43
London,05-Apr-19,2019,49,49,48
London,06-Apr-19,2019,47.4,47.4,38
London,07-Apr-19,2019,48.2,48.2,39
London,08-Apr-19,2019,49.5,49.5,35
London,09-Apr-19,2019,48.3,48.3,41
London,10-Apr-19,2019,46.8,46.8,48
London,11-Apr-19,2019,43.8,43.8,65
London,12-Apr-19,2019,43.4,43.4,51
London,13-Apr-19,2019,41.1,41.1,45
London,14-Apr-19,2019,41.1,41.1,62
London,15-Apr-19,2019,48.1,48.1,66
London,16-Apr-19,2019,51.5,51.5,49
London,17-Apr-19,2019,54.4,54.4,58
London,18-Apr-19,2019,57.4,57.4,63
London,19-Apr-19,2019,60.4,60.4,87
London,20-Apr-19,2019,62,62,71
London,21-Apr-19,2019,59.6,59.6,79
London,22-Apr-19,2019,62.3,62.3,79
London,23-Apr-19,2019,60.8,60.8,65
London,24-Apr-19,2019,-99,50.03,54
London,25-Apr-19,2019,54.1,54.1,61
London,26-Apr-19,2019,52.2,52.2,60
London,27-Apr-19,2019,49.4,49.4,72
London,28-Apr-19,2019,51.1,51.1,62
London,29-Apr-19,2019,51,51,41
London,30-Apr-19,2019,53.5,53.5,63
London,01-May-19,2019,53.3,53.3,57
London,02-May-19,2019,52.6,52.6,59
London,03-May-19,2019,49.4,49.4,44
London,04-May-19,2019,45.6,45.6,67
London,05-May-19,2019,46.6,46.6,70
London,06-May-19,2019,48.1,48.1,68
London,07-May-19,2019,52.1,52.1,54
London,08-May-19,2019,51.4,51.4,38
London,09-May-19,2019,50.3,50.3,26
London,10-May-19,2019,50.9,50.9,46
London,11-May-19,2019,53.2,53.2,36
London,12-May-19,2019,52.5,52.5,47
London,13-May-19,2019,52.9,52.9,66
London,14-May-19,2019,55,55,64
London,15-May-19,2019,56.9,56.9,70
London,16-May-19,2019,-99,50.03,73
London,17-May-19,2019,-99,50.03,54
London,18-May-19,2019,-99,50.03,54
London,19-May-19,2019,-99,50.03,46
London,20-May-19,2019,60.4,60.4,58
London,21-May-19,2019,60.3,60.3,74
London,22-May-19,2019,61.2,61.2,86
London,23-May-19,2019,62.5,62.5,83
London,24-May-19,2019,62.4,62.4,92
London,25-May-19,2019,65.4,65.4,75
London,26-May-19,2019,63,63,74
London,27-May-19,2019,57.6,57.6,70
London,28-May-19,2019,55.1,55.1,63
London,29-May-19,2019,54.7,54.7,48
London,30-May-19,2019,65.5,65.5,53
London,31-May-19,2019,62.5,62.5,51
London,01-Jun-19,2019,66.6,66.6,73
London,02-Jun-19,2019,67.5,67.5,96
London,03-Jun-19,2019,60.6,60.6,54
London,04-Jun-19,2019,57.7,57.7,49
London,05-Jun-19,2019,59.4,59.4,59
London,06-Jun-19,2019,58.3,58.3,77
London,07-Jun-19,2019,57.7,57.7,50
London,08-Jun-19,2019,58.4,58.4,54
London,09-Jun-19,2019,57.8,57.8,67
London,10-Jun-19,2019,52.6,52.6,32
London,11-Jun-19,2019,55.8,55.8,41
London,12-Jun-19,2019,55,55,41
London,13-Jun-19,2019,54.8,54.8,40
London,14-Jun-19,2019,59.6,59.6,53
London,15-Jun-19,2019,58.6,58.6,44
London,16-Jun-19,2019,59.3,59.3,49
London,17-Jun-19,2019,62.3,62.3,66
London,18-Jun-19,2019,60.1,60.1,33
London,19-Jun-19,2019,61.9,61.9,32
London,20-Jun-19,2019,61,61,52
London,21-Jun-19,2019,61,61,61
London,22-Jun-19,2019,62.8,62.8,66
London,23-Jun-19,2019,65.7,65.7,65
London,24-Jun-19,2019,69.9,69.9,42
London,25-Jun-19,2019,67.9,67.9,30
London,26-Jun-19,2019,63.3,63.3,33
London,27-Jun-19,2019,63.5,63.5,63
London,28-Jun-19,2019,64.3,64.3,58
London,29-Jun-19,2019,75.9,75.9,67
London,30-Jun-19,2019,67.1,67.1,77
London,01-Jul-19,2019,64.6,64.6,83
London,02-Jul-19,2019,62.8,62.8,69
London,03-Jul-19,2019,65,65,62
London,04-Jul-19,2019,68,68,76
London,05-Jul-19,2019,70.7,70.7,76
London,06-Jul-19,2019,67.4,67.4,72
London,07-Jul-19,2019,63.4,63.4,60
London,08-Jul-19,2019,65,65,55
London,09-Jul-19,2019,67.3,67.3,61
London,10-Jul-19,2019,69.8,69.8,68
London,11-Jul-19,2019,69.8,69.8,78
London,12-Jul-19,2019,69.5,69.5,72
London,13-Jul-19,2019,66.8,66.8,83
London,14-Jul-19,2019,63.6,63.6,59
London,15-Jul-19,2019,62.8,62.8,56
London,16-Jul-19,2019,67.7,67.7,77
London,17-Jul-19,2019,68.7,68.7,63
London,18-Jul-19,2019,66.3,66.3,47
London,19-Jul-19,2019,62.1,62.1,38
London,20-Jul-19,2019,67.3,67.3,35
London,21-Jul-19,2019,65.5,65.5,49
London,22-Jul-19,2019,70.8,70.8,49
London,23-Jul-19,2019,77.9,77.9,72
London,24-Jul-19,2019,78.7,78.7,71
London,25-Jul-19,2019,83.4,83.4,98
London,26-Jul-19,2019,71.7,71.7,56
London,27-Jul-19,2019,64.2,64.2,44
London,28-Jul-19,2019,66.2,66.2,47
London,29-Jul-19,2019,68.2,68.2,71
London,30-Jul-19,2019,64.7,64.7,34
London,31-Jul-19,2019,67.4,67.4,50
London,01-Aug-19,2019,68.1,68.1,33
London,02-Aug-19,2019,69,69,41
London,03-Aug-19,2019,67.7,67.7,61
London,04-Aug-19,2019,68.6,68.6,57
London,05-Aug-19,2019,67.9,67.9,56
London,06-Aug-19,2019,66.6,66.6,61
London,07-Aug-19,2019,65.5,65.5,49
London,08-Aug-19,2019,66.8,66.8,45
London,09-Aug-19,2019,68.4,68.4,35
London,10-Aug-19,2019,66,66,45
London,11-Aug-19,2019,65.8,65.8,51
London,12-Aug-19,2019,60.1,60.1,42
London,13-Aug-19,2019,62.1,62.1,46
London,14-Aug-19,2019,60.4,60.4,41
London,15-Aug-19,2019,65.6,65.6,41
London,16-Aug-19,2019,61,61,37
London,17-Aug-19,2019,65.4,65.4,34
London,18-Aug-19,2019,62.3,62.3,45
London,19-Aug-19,2019,61.8,61.8,41
London,20-Aug-19,2019,61.3,61.3,57
London,21-Aug-19,2019,61.9,61.9,60
London,22-Aug-19,2019,64.8,64.8,53
London,23-Aug-19,2019,68.1,68.1,67
London,24-Aug-19,2019,71.2,71.2,68
London,25-Aug-19,2019,76.8,76.8,74
London,26-Aug-19,2019,76.6,76.6,91
London,27-Aug-19,2019,76.3,76.3,71
London,28-Aug-19,2019,68.4,68.4,62
London,29-Aug-19,2019,63.7,63.7,72
London,30-Aug-19,2019,64.7,64.7,74
London,31-Aug-19,2019,62.5,62.5,55
London,01-Sep-19,2019,60.6,60.6,84
London,02-Sep-19,2019,60.8,60.8,83
London,03-Sep-19,2019,64.2,64.2,70
London,04-Sep-19,2019,63,63,50
London,05-Sep-19,2019,58.6,58.6,47
London,06-Sep-19,2019,56.7,56.7,40
London,07-Sep-19,2019,58.1,58.1,48
London,08-Sep-19,2019,55,55,80
London,09-Sep-19,2019,56.6,56.6,56
London,10-Sep-19,2019,60,60,40
London,11-Sep-19,2019,63.5,63.5,57
London,12-Sep-19,2019,65.2,65.2,57
London,13-Sep-19,2019,63.3,63.3,77
London,14-Sep-19,2019,61.8,61.8,88
London,15-Sep-19,2019,65.2,65.2,76
London,16-Sep-19,2019,62.7,62.7,57
London,17-Sep-19,2019,58.8,58.8,82
London,18-Sep-19,2019,57.1,57.1,72
London,19-Sep-19,2019,58.6,58.6,73
London,20-Sep-19,2019,59.8,59.8,84
London,21-Sep-19,2019,64.8,64.8,73
London,22-Sep-19,2019,64,64,55
London,23-Sep-19,2019,60.7,60.7,40
London,24-Sep-19,2019,62.3,62.3,23
London,25-Sep-19,2019,62.8,62.8,35
London,26-Sep-19,2019,62.1,62.1,39
London,27-Sep-19,2019,59.4,59.4,41
London,28-Sep-19,2019,59.6,59.6,41
London,29-Sep-19,2019,60.8,60.8,32
London,30-Sep-19,2019,57.4,57.4,22
London,01-Oct-19,2019,60.2,60.2,34
London,02-Oct-19,2019,50.7,50.7,49
London,03-Oct-19,2019,48.9,48.9,39
London,04-Oct-19,2019,56.2,56.2,25
London,05-Oct-19,2019,56.4,56.4,50
London,06-Oct-19,2019,58,58,49
London,07-Oct-19,2019,55.7,55.7,26
London,08-Oct-19,2019,56.7,56.7,35
London,09-Oct-19,2019,54.1,54.1,48
London,10-Oct-19,2019,56.1,56.1,33
London,11-Oct-19,2019,59.8,59.8,38
London,12-Oct-19,2019,52.8,52.8,37
London,13-Oct-19,2019,56.6,56.6,52
London,14-Oct-19,2019,55.1,55.1,42
London,15-Oct-19,2019,55,55,35
London,16-Oct-19,2019,55.2,55.2,44
London,17-Oct-19,2019,52.7,52.7,31
London,18-Oct-19,2019,53.2,53.2,29
London,19-Oct-19,2019,52.3,52.3,45
London,20-Oct-19,2019,48.4,48.4,36
London,21-Oct-19,2019,53,53,31
London,22-Oct-19,2019,50.4,50.4,47
London,23-Oct-19,2019,50.1,50.1,47
London,24-Oct-19,2019,53.3,53.3,36
London,25-Oct-19,2019,56.2,56.2,41
London,26-Oct-19,2019,56.7,56.7,27
London,27-Oct-19,2019,45.7,45.7,58
London,28-Oct-19,2019,43.6,43.6,44
London,29-Oct-19,2019,47.9,47.9,44
London,30-Oct-19,2019,48.5,48.5,41
London,31-Oct-19,2019,47,47,50
London,01-Nov-19,2019,55.6,55.6,47
London,02-Nov-19,2019,53.5,53.5,38
London,03-Nov-19,2019,48.3,48.3,39
London,04-Nov-19,2019,48.2,48.2,33
London,05-Nov-19,2019,49.3,49.3,83
London,06-Nov-19,2019,44.6,44.6,46
London,07-Nov-19,2019,45.6,45.6,34
London,08-Nov-19,2019,40.7,40.7,44
London,09-Nov-19,2019,40.4,40.4,35
London,10-Nov-19,2019,45.5,45.5,25
London,11-Nov-19,2019,45,45,42
London,12-Nov-19,2019,43.5,43.5,36
London,13-Nov-19,2019,42.9,42.9,25
London,14-Nov-19,2019,42.7,42.7,35
London,15-Nov-19,2019,43.1,43.1,40
London,16-Nov-19,2019,43.1,43.1,40
London,17-Nov-19,2019,41.8,41.8,51
London,18-Nov-19,2019,44.1,44.1,42
London,19-Nov-19,2019,36.4,36.4,42
London,20-Nov-19,2019,40.7,40.7,35
London,21-Nov-19,2019,40.2,40.2,39
London,22-Nov-19,2019,46.1,46.1,41
London,23-Nov-19,2019,48.7,48.7,39
London,24-Nov-19,2019,48.9,48.9,52
London,25-Nov-19,2019,50.7,50.7,32
London,26-Nov-19,2019,52.5,52.5,39
London,27-Nov-19,2019,50.4,50.4,29
London,28-Nov-19,2019,47.8,47.8,30
London,29-Nov-19,2019,40.8,40.8,47
London,30-Nov-19,2019,38.3,38.3,43
London,01-Dec-19,2019,39.1,39.1,52
London,02-Dec-19,2019,36.8,36.8,50
London,03-Dec-19,2019,41,41,30
London,04-Dec-19,2019,38.9,38.9,39
London,05-Dec-19,2019,40.2,40.2,47
London,06-Dec-19,2019,52,52,32
London,07-Dec-19,2019,49.2,49.2,46
London,08-Dec-19,2019,49,49,43
London,09-Dec-19,2019,45.7,45.7,41
London,10-Dec-19,2019,44.4,44.4,38
London,11-Dec-19,2019,41.8,41.8,42
London,12-Dec-19,2019,41.7,41.7,32
London,13-Dec-19,2019,44.8,44.8,42
London,14-Dec-19,2019,43.6,43.6,34
London,15-Dec-19,2019,45.4,45.4,34
London,16-Dec-19,2019,45,45,40
London,17-Dec-19,2019,44.1,44.1,26
London,18-Dec-19,2019,43.7,43.7,24
London,19-Dec-19,2019,53.1,53.1,40
London,20-Dec-19,2019,46.8,46.8,44
London,21-Dec-19,2019,46.8,46.8,30
London,22-Dec-19,2019,46.5,46.5,35
London,23-Dec-19,2019,46.9,46.9,41
London,24-Dec-19,2019,48.9,48.9,34
London,25-Dec-19,2019,41.6,41.6,40
London,26-Dec-19,2019,44.6,44.6,28
London,27-Dec-19,2019,45.1,45.1,39
London,28-Dec-19,2019,46.4,46.4,38
London,29-Dec-19,2019,45.1,45.1,42
London,30-Dec-19,2019,43.7,43.7,25
London,31-Dec-19,2019,45.1,45.1,26
